raw_institute,raw_source,identifier
Hellenic Centre for Marine Research (HCMR),1-marinespecies.org_users_2023-11-07,7d475534-b9f2-4173-9249-658882ef7d0c
Ministry for Environment and Territory Protection; Nature Protection Directorate,1-marinespecies.org_users_2023-11-07,c6172191-e874-4f33-a257-95d4d2833c51
Federal Environmental Agency,1-marinespecies.org_users_2023-11-07,f858498e-2e43-4113-9ddb-42bff7027ad6
National Cancer Institute,1-marinespecies.org_users_2023-11-07,9130c308-53ee-4184-b4a3-c303ccd0e589
IFREMER,1-marinespecies.org_users_2023-11-07,5eddf005-f9a7-4058-88c7-ff730a7e3047
RIZA-WILB,1-marinespecies.org_users_2023-11-07,000b2611-f101-400e-8a02-33d150e7eb6f
European Topic Centre on Nature Protection and Biodiversity,1-marinespecies.org_users_2023-11-07,fa922b63-df6f-4896-a6b6-7ef4489b1abc
National Environmental Research Institute,1-marinespecies.org_users_2023-11-07,219e3c3e-987c-4ff4-a11a-0ee0781bdee1
MBL,1-marinespecies.org_users_2023-11-07,a9330e4f-6163-4f10-a59d-26384109b7ad
Hafok,1-marinespecies.org_users_2023-11-07,b0671190-3b89-4b0f-ad9a-2284b07b4313
Smithsonian Institution,1-marinespecies.org_users_2023-11-07,139a7d7b-c36b-468c-9bc0-c8d52fc44b36
ETI BioInformatics,1-marinespecies.org_users_2023-11-07,681bb2bf-61d2-4878-acda-074cf2c33a0d
Marine Life Information Network (MarLIN),1-marinespecies.org_users_2023-11-07,6244afd3-fc49-466b-b20c-93064ad7dd6a
L’Agence des aires marines protégées,1-marinespecies.org_users_2023-11-07,2287753e-6571-4f0f-b1b2-7aca5f1d3da0
San Diego Supercomputer Center,1-marinespecies.org_users_2023-11-07,bbabc8e5-7482-40a2-bf09-cd49ac1eae03
National Center for Biotechnology Information (NCBI),1-marinespecies.org_users_2023-11-07,daa218e0-a283-44c3-bdaa-9fce40df2ed2
The United States Antarctic Program at the National Museum of Natural History,1-marinespecies.org_users_2023-11-07,64e8d895-cd20-42b8-90cd-a285df92df18
University of Bordeaux,1-marinespecies.org_users_2023-11-07,cde021df-9d14-4c0f-af41-1aa0fccd4692
British Oceanographic Data Centre (BODC),1-marinespecies.org_users_2023-11-07,8cacae05-696d-4186-b173-d82382df2375
Ecospan Environmental Limited,1-marinespecies.org_users_2023-11-07,dc21973d-5c01-4517-8edc-32c2f522fccb
"National Academy of Sciences of Ukraine, Institute of Biology of the Southern Seas (IBSS)",1-marinespecies.org_users_2023-11-07,db889143-c573-4f62-9b44-de7bed610438
"School of Computer Science, University of Manchester",1-marinespecies.org_users_2023-11-07,801b0f44-b860-4eb9-bace-b6d58ba69d2c
,1-marinespecies.org_users_2023-11-07,bd4c803c-f67f-4267-9a64-b0160c538ee5
"Institut de Recherche pour le Développement (IRD), Centre de Recherche Halieutique Méditerranéenne et Tropicale",1-marinespecies.org_users_2023-11-07,74ece9b7-ac3e-46f0-bec5-9f92a07fbc92
"Circolo Attività Subacquee Chieri, Sezione Didattica",1-marinespecies.org_users_2023-11-07,d86d6961-eb11-43de-8fe2-ad6bce70b572
Station Biologique de Roscoff,1-marinespecies.org_users_2023-11-07,113da809-f2fe-4653-b0bb-b7f9c7aa8846
,1-marinespecies.org_users_2023-11-07,7ea52566-ea6f-466c-89ea-933ef4feb670
MariLim Gesellschaft für Gewässeruntersuchung mbH,1-marinespecies.org_users_2023-11-07,e6550b5e-922b-4707-b99f-4c94095f0718
NOAA,1-marinespecies.org_users_2023-11-07,450585c2-8633-4dce-8742-18430c029c57
"Natural History Museum Rotterdam, Marine Invertebrates",1-marinespecies.org_users_2023-11-07,bed0198e-f1b9-45f8-8630-257c2b9b300f
"European Environment Agency, EUNIS",1-marinespecies.org_users_2023-11-07,11f383d8-7c55-4eb6-a603-8d848fff9c0f
"HELCOM, Helsinki",1-marinespecies.org_users_2023-11-07,9a13e966-9c00-4c94-ac1c-05fc554dc2bb
Fisheries Linked Open Data at the Fisheries and Aquaculture Department of FAO,1-marinespecies.org_users_2023-11-07,26eb9137-e1b0-44b1-a260-976ef09f1649
Gardline Marine Sciences group,1-marinespecies.org_users_2023-11-07,787d4908-9e57-4905-91f9-53da963f4944
International Institute for Species Exploration,1-marinespecies.org_users_2023-11-07,5ff8c0d3-8a46-40ef-b2ff-a9ccbb2514cb
University of British Columbia,1-marinespecies.org_users_2023-11-07,4edda5e8-1f41-4cc9-b0ad-c3698a1ab346
Institut National de Recherche Halieutique (INRH),1-marinespecies.org_users_2023-11-07,9aa9e9cd-68fb-4abe-aca9-d6791a1a981f
Government Department of Conservation Services,1-marinespecies.org_users_2023-11-07,ccfc837c-b5fb-4d65-a618-47ea8bc8f305
Natural History Museum of Los Angeles County,1-marinespecies.org_users_2023-11-07,6a3b0208-ebe1-4237-98b8-65beedd91685
,1-marinespecies.org_users_2023-11-07,6805eeba-475b-459e-9f8e-a8c36aefa184
,1-marinespecies.org_users_2023-11-07,e9e45614-3284-4d1f-882a-c91e8327a64d
"Archaeology and Natural History, The Australian National University",1-marinespecies.org_users_2023-11-07,093b9a0b-1f10-45ee-a780-f2e445b2d2d9
Natural History Museum (NHM),1-marinespecies.org_users_2023-11-07,5a48d531-17bc-4c22-99c9-a60d7ae7082a
,1-marinespecies.org_users_2023-11-07,c333864b-fa3a-4816-925b-c6eb587edaaa
"Department of Marine Sciences, University of the Aegean",1-marinespecies.org_users_2023-11-07,63cfa87f-5d1a-4236-86fc-bd1d4a8393e8
University of Sheffield,1-marinespecies.org_users_2023-11-07,a76578d6-23f7-40b3-98f6-b5d8fe65019e
Smithsonian Institution,1-marinespecies.org_users_2023-11-07,81c6f441-fd50-45e4-acb6-78983379534b
,1-marinespecies.org_users_2023-11-07,6d68c997-0a54-4669-99b3-5c7c50e8b9ce
"Maurice Lamontagne Institute, Fisheries and Oceans",1-marinespecies.org_users_2023-11-07,cc1f7136-09b1-4229-91a0-e5fda7a8b78e
Natura Esperire/Experience Annalisa Tassini,1-marinespecies.org_users_2023-11-07,933bab45-6a23-4f67-82ec-2aabad96453a
"Marine Research Lab, Zoological Institute RAS",1-marinespecies.org_users_2023-11-07,1e27f6b7-4c30-48df-b83c-298d39bf1931
Southeast Missouri State University,1-marinespecies.org_users_2023-11-07,2196ba73-89fa-4b85-b89d-e8dc928897ac
IMARES Wageningen UR,1-marinespecies.org_users_2023-11-07,7b04dcd4-275a-46d1-b2ad-f047d17ca63e
Conchology Inc.,1-marinespecies.org_users_2023-11-07,06610900-8bb3-4a92-b81d-5df568f6747f
Cardiff University,1-marinespecies.org_users_2023-11-07,1e9ab436-7735-4443-8ead-93e21176fd56
,1-marinespecies.org_users_2023-11-07,09a7060e-573b-4b4f-93b6-23255275b651
,1-marinespecies.org_users_2023-11-07,9169cdf8-0ad1-4263-b93f-bca0695f4fc6
"Ifremer, Laboratoire des sciences de l’Environnement MARin (LEMAR)",1-marinespecies.org_users_2023-11-07,69a73b2a-7b7b-4b7b-8d41-a8d8e13ff309
,1-marinespecies.org_users_2023-11-07,7c308b26-80bb-4d55-bceb-9eedca730dde
,1-marinespecies.org_users_2023-11-07,9da90aca-d875-493b-8e8f-e133196b0c3a
,1-marinespecies.org_users_2023-11-07,e684b7e4-8650-44dc-b8f8-2c30078d31a7
,1-marinespecies.org_users_2023-11-07,7df7035f-f7eb-4a15-8915-a26ff5ad1912
,1-marinespecies.org_users_2023-11-07,ee671c04-82fd-44e0-adba-0ef4a027dba1
Washington State Department of Ecology,1-marinespecies.org_users_2023-11-07,d775fbed-8c28-49e9-9432-2416d33c6757
Utrecht,1-marinespecies.org_users_2023-11-07,40d4a8fd-e057-41d7-aa6e-27c717537a4b
Alfred Wegener Institute,1-marinespecies.org_users_2023-11-07,13921c71-6461-410c-b388-e61c91416b77
University of Strathclyde  Dept. Mathematics and Statistics,1-marinespecies.org_users_2023-11-07,19094d6a-ce90-4216-ae0d-4a6e0e9d4213
Wilhelmshaven,1-marinespecies.org_users_2023-11-07,e54d51c7-eac5-4ae7-af07-f01d225c185a
University of Baghdad,1-marinespecies.org_users_2023-11-07,c4443754-93a6-490c-b777-3252050e0a40
,1-marinespecies.org_users_2023-11-07,8cd49692-7dee-4f06-b2bf-06cb942a102d
Bielefeld University,1-marinespecies.org_users_2023-11-07,e0f96a3a-031b-4ea7-b9aa-fc200de9368a
,1-marinespecies.org_users_2023-11-07,b2932084-cb17-4213-8541-7105896c5508
Florida Atlantic University,1-marinespecies.org_users_2023-11-07,d7faae68-e478-4103-bd4c-cd615c4e95db
,1-marinespecies.org_users_2023-11-07,fe4767d7-a4db-4ffa-840e-7e5dabfd5629
University College London,1-marinespecies.org_users_2023-11-07,e1e240fc-e074-4f61-b6b6-e4b51999fa5a
,1-marinespecies.org_users_2023-11-07,8b0d465e-ba52-4ecb-aced-1a18ae02c22e
MNHN,1-marinespecies.org_users_2023-11-07,8efe6d5d-8a16-4d11-8577-19fe494d2351
CREOCEAN,1-marinespecies.org_users_2023-11-07,cb391fa0-ad44-4806-b227-e479544f902d
"Stazione Zoologica ""Anton Dohrn""",1-marinespecies.org_users_2023-11-07,263ee52f-c7c2-4cb4-bf54-ac39e6bff939
Akvaplan-niva,1-marinespecies.org_users_2023-11-07,13796623-07fe-4947-8404-670144aa7679
ICES,1-marinespecies.org_users_2023-11-07,279df1f6-7f21-4495-b57b-c7027ab56409
University of Lille,1-marinespecies.org_users_2023-11-07,141fbd1a-b05f-4b7f-8a4c-ff614971892f
IFM-GEOMAR,1-marinespecies.org_users_2023-11-07,84a7c1f0-93ef-47dd-a8f9-5e8416d8080e
Systematik und Evolution der Tiere Freie Universität Berlin,1-marinespecies.org_users_2023-11-07,14acdf36-c355-42d5-bf84-d7cf58f6a8eb
CSIRO,1-marinespecies.org_users_2023-11-07,dee2b32e-aa29-42a6-9b78-00461f8f5bf9
UCSD,1-marinespecies.org_users_2023-11-07,b00eb942-ca43-42cb-b579-c2ed4ed60e18
RIKZ,1-marinespecies.org_users_2023-11-07,94c40fed-ad1e-4a62-a39a-67dfba15a09d
MBA,1-marinespecies.org_users_2023-11-07,a6d3b2d3-3842-48f4-9ed6-30b181aeebd2
