raw_institute,raw_source,stand_institute
Hellenic Centre for Marine Research (HCMR),1-marinespecies.org_users_2023-11-07,HCMR (Hellenic Centre for Marine Research)
Ministry for Environment and Territory Protection; Nature Protection Directorate,1-marinespecies.org_users_2023-11-07,Italy government - Ministry for Environment and Territory Protection - Nature Protection Directorate
Federal Environmental Agency,1-marinespecies.org_users_2023-11-07,Federal Environmental Agency
National Cancer Institute,1-marinespecies.org_users_2023-11-07,National Cancer Institute (NCI)
IFREMER,1-marinespecies.org_users_2023-11-07,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers)
RIZA-WILB,1-marinespecies.org_users_2023-11-07,RIZA (Rijksinstituut voor de Zuivering van Afvalwater)
European Topic Centre on Nature Protection and Biodiversity,1-marinespecies.org_users_2023-11-07,European Topic Centre on Nature Protection and Biodiversity
National Environmental Research Institute,1-marinespecies.org_users_2023-11-07,Aarhus University - Department of Marine Ecology - National Environmental Research Institute
MBL,1-marinespecies.org_users_2023-11-07,MBL
Hafok,1-marinespecies.org_users_2023-11-07,Hafok AB
Smithsonian Institution,1-marinespecies.org_users_2023-11-07,Smithsonian Institution
ETI BioInformatics,1-marinespecies.org_users_2023-11-07,ETI BioInformatics
Marine Life Information Network (MarLIN),1-marinespecies.org_users_2023-11-07,MarLIN (Marine Life Information Network)
L’Agence des aires marines protégées,1-marinespecies.org_users_2023-11-07,L’Agence des aires marines protégées
San Diego Supercomputer Center,1-marinespecies.org_users_2023-11-07,"University of California, San Diego (UCSD) - San Diego Supercomputer Center"
National Center for Biotechnology Information (NCBI),1-marinespecies.org_users_2023-11-07,National Center for Biotechnology Information (NCBI)
The United States Antarctic Program at the National Museum of Natural History,1-marinespecies.org_users_2023-11-07,National Museum of Natural History - US Antarctic Program
University of Bordeaux,1-marinespecies.org_users_2023-11-07,University of Bordeaux
British Oceanographic Data Centre (BODC),1-marinespecies.org_users_2023-11-07,British Oceanographic Data Centre (BODC)
