raw_country,raw_institute,raw_source,identifier
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,77382096-cdfd-4dee-97b6-af5452da08c6
be,inbo,3-users_lifewatch_by_group_kpi_2023-11-07,c68a2163-f52e-41ab-bb4f-3e8a2549ab53
org,marinespecies,3-users_lifewatch_by_group_kpi_2023-11-07,fd13c994-46b4-4993-b1b0-526812cc42fe
com_DISABLED,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,a81320e4-592f-4d03-9f83-c184e1521aff
no,nord,3-users_lifewatch_by_group_kpi_2023-11-07,c9855210-6655-40ce-a2d6-aa900c21ba9c
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,56d586f2-7546-4d5d-b36f-e7f3d9ffa5a6
nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07,bab6a93d-81b6-4065-a918-8508ef90573b
fr,mnhn,3-users_lifewatch_by_group_kpi_2023-11-07,7008a8be-029c-44e7-b3a8-4a3a98b489bd
uk,nhmac,3-users_lifewatch_by_group_kpi_2023-11-07,4c662413-2413-400c-a2ed-543a57e01846
de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07,abc6a3d9-d57c-4b41-a049-fd8fcebce8ba
be,inbo,3-users_lifewatch_by_group_kpi_2023-11-07,cca35b2c-a773-4a66-ad13-94f4fb3828a3
be_DISABLED,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,0c399034-b2d9-4262-9769-2c58c488dc62
pt,uac,3-users_lifewatch_by_group_kpi_2023-11-07,7f86e285-2f78-40de-b898-6ffda266f023
org,unesco,3-users_lifewatch_by_group_kpi_2023-11-07,34a26d54-6c89-4b66-9ea4-037ac3e172a4
be,naturalsciences,3-users_lifewatch_by_group_kpi_2023-11-07,daa5254c-8184-4419-92be-3de93f3e7767
com,sanamyan,3-users_lifewatch_by_group_kpi_2023-11-07,64df2467-5345-4f86-a506-4a32e57ad2a0
nz,niwaco,3-users_lifewatch_by_group_kpi_2023-11-07,12616023-0874-4987-8b99-d1059af45c91
ie,nuigalway,3-users_lifewatch_by_group_kpi_2023-11-07,e48e45da-3ebb-48c2-bd38-c26a318a9de6
de,rwth-aachen,3-users_lifewatch_by_group_kpi_2023-11-07,82381946-32e9-48a8-9fe0-2bd873e2db1b
