source,email_domain_end,email_domain_name,user_identifier,stand_institute,Unnamed: 0.1,Unnamed: 0,country_alpha2,country_alpha3,country_official_name,country_url,flemish,group,qh,MarineInfo_ID,ROR_ID,local_ID
3-users_lifewatch_by_group_kpi_2023-11-07,be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07_fd6ad857-1fdd-4b56-a996-aeb17ac2b3f6,VLIZ Flanders Marine Institute,273.0,273.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/36,https://ror.org/0496vr396,29b5daf6-c18b-4149-8570-1577dba33ecc
3-users_lifewatch_by_group_kpi_2023-11-07,be,inbo,3-users_lifewatch_by_group_kpi_2023-11-07_63a512da-f469-486a-911f-9eb2ca70f7f8,INBO Research Institute for Nature and Forest,217.0,217.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/5443,https://ror.org/00j54wy13,30d5bbf8-ed5b-4982-8be8-f60d6e19f83e
3-users_lifewatch_by_group_kpi_2023-11-07,org,marinespecies,3-users_lifewatch_by_group_kpi_2023-11-07_633a671f-d7ab-4a41-89a6-9b1691a1e6d2,WoRMS World Register of Marine Species,969.0,969.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,Data infrastructure,Science,-,-,7531135c-bf35-43a6-9294-81f68e708563
3-users_lifewatch_by_group_kpi_2023-11-07,com_DISABLED,gmail,3-users_lifewatch_by_group_kpi_2023-11-07_7582a836-b23c-40ba-83e1-10792cf962e5,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
3-users_lifewatch_by_group_kpi_2023-11-07,no,nord,3-users_lifewatch_by_group_kpi_2023-11-07_c12e4a06-1b41-47d8-8b65-b353e0a5cd0a,Nord University,1487.0,1487.0,NO,NOR,Kingdom of Norway,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ANO,,University,Science,https://marineinfo.org/id/institute/14338,https://ror.org/030mwrt98,4c0c65da-db31-4105-8bd5-e6ca815fc3b3
3-users_lifewatch_by_group_kpi_2023-11-07,be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07_2df3cfaa-ab5b-4507-91da-de7f26915609,VLIZ Flanders Marine Institute,273.0,273.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/36,https://ror.org/0496vr396,29b5daf6-c18b-4149-8570-1577dba33ecc
3-users_lifewatch_by_group_kpi_2023-11-07,nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07_e9b9a2a8-9efc-4865-b783-aea9057fe1f1,Naturalis Biodiversity Center,1419.0,1419.0,NL,NLD,Kingdom of the Netherlands,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ANL,,Museum,Science,https://marineinfo.org/id/institute/12212,https://ror.org/0566bfb96,a1937ae7-cb00-4044-9481-5a1d2f9698a8
3-users_lifewatch_by_group_kpi_2023-11-07,fr,mnhn,3-users_lifewatch_by_group_kpi_2023-11-07_15e20fcf-702a-425c-a70d-24c8813092dd,MNHN National Museum of Natural History,732.0,732.0,FR,FRA,French Republic,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AFR,,Museum,Science,https://marineinfo.org/id/institute/4397,https://ror.org/03wkt5x30,d3c02001-d616-4e7c-a9bc-4c47f75c726b
3-users_lifewatch_by_group_kpi_2023-11-07,uk,nhmac,3-users_lifewatch_by_group_kpi_2023-11-07_e1891590-d4ee-4976-a0ad-431966c15e68,Natural History Museum (NHM),,,,,,,,,,,,
3-users_lifewatch_by_group_kpi_2023-11-07,de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07_9fa110ef-55dd-4140-8a06-48e48d156c7c,Naturmuseum Senckenberg,840.0,840.0,DE,DEU,Federal Republic of Germany,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ADE,,Museum,Science,-,https://ror.org/05jv9s411,605a8e11-7279-46da-b438-191068b3ff7c
3-users_lifewatch_by_group_kpi_2023-11-07,be,inbo,3-users_lifewatch_by_group_kpi_2023-11-07_fa10ee9d-c3df-4e92-9a61-2a3c3e195152,INBO Research Institute for Nature and Forest,217.0,217.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/5443,https://ror.org/00j54wy13,30d5bbf8-ed5b-4982-8be8-f60d6e19f83e
3-users_lifewatch_by_group_kpi_2023-11-07,be_DISABLED,vliz,3-users_lifewatch_by_group_kpi_2023-11-07_26b5364e-f09d-4b14-a112-a7b81d7a35d9,VLIZ Flanders Marine Institute,273.0,273.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/36,https://ror.org/0496vr396,29b5daf6-c18b-4149-8570-1577dba33ecc
3-users_lifewatch_by_group_kpi_2023-11-07,pt,uac,3-users_lifewatch_by_group_kpi_2023-11-07_3a2393fc-fa3f-4ed3-bf86-0d8e5c05aa44,University of Acores,1582.0,1582.0,PT,PRT,Portuguese Republic,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3APT,,University,Science,-,https://ror.org/04276xd64,dcaeaf18-6148-49a7-9ce5-9cfa0d591e29
3-users_lifewatch_by_group_kpi_2023-11-07,org,unesco,3-users_lifewatch_by_group_kpi_2023-11-07_0772135b-b129-4c7a-b1f4-5aabf85ae476,UNESCO,,,,,,,,,,,,
