raw_country,raw_institute,raw_source,stand_institute,country,flemish,group,qh
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,inbo,3-users_lifewatch_by_group_kpi_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
org,marinespecies,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
com_DISABLED,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
no,nord,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
fr,mnhn,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
uk,nhmac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,inbo,3-users_lifewatch_by_group_kpi_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be_DISABLED,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
pt,uac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
org,unesco,3-users_lifewatch_by_group_kpi_2023-11-07,UNESCO,,,,
be,naturalsciences,3-users_lifewatch_by_group_kpi_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
com,sanamyan,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
nz,niwaco,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
ie,nuigalway,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
de,rwth-aachen,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
uk,nhmac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
edu,nova,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
nl,kpnmail,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
it,unipd,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
fr,imev-mer,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
ro,antipa,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
de,ecolevol,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,ulbac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
fr,mnhn,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
bm,gov,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
uk,nhmac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
it,unile,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
gr,bioluoa,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
uk,nocac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
de,mfn-berlin,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
es,uma,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,ugent,3-users_lifewatch_by_group_kpi_2023-11-07,Ghent University,Belgium,x,University,Science
no,biouib,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be_disabled,ugent,3-users_lifewatch_by_group_kpi_2023-11-07,Ghent University,Belgium,x,University,Science
uk,hotmailco,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
at,sbgac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
uk,qmulac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
org,calacademy,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
fr_DISABLED,aliceadsl,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
org,q-quatics,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
uk,mbaac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
gr,hcmr,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
de,uni-bonn,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
de,gmx,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
uk,nhmac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
es,ehu,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
fr,mnhn,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
uk,artooco,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
es,imedeauib-csic,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
de,uni-hamburg,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
se,nrm,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
com,aol,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
ee,zbi,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
dk,snmku,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
ie,ecoserve,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,ilvovlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",Belgium,x,Research institute,Science
es,usc,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
no,nhmuio,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
dk,snmku,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
uk,mbaac,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
net,clara,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,uhasselt,3-users_lifewatch_by_group_kpi_2023-11-07,Hasselt University,Belgium,x,University,Science
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,ugent,3-users_lifewatch_by_group_kpi_2023-11-07,Ghent University,Belgium,x,University,Science
fi,utu,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
com,hotmail,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
edu,si,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
edu,ucsc,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
au,geoluwaedu,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
edu,si,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
net,ibssiuf,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
fr,unicaen,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
fr,univ-amu,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
no,uit,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
it,szn,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,ilvovlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",Belgium,x,Research institute,Science
be,ilvovlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",Belgium,x,Research institute,Science
be,ilvovlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",Belgium,x,Research institute,Science
fr,orange,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
au,qmqldgov,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
org,recoscix,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
ke,africaonlineco,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be_DISABLED,mowvlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,NA,,,,
