source,email_domain_end,email_domain_name,user_identifier,stand_institute
3-users_lifewatch_by_group_kpi_2023-11-07,edu,nova,f7055b9a-7f39-4b32-aa76-dfd4ba768243,
3-users_lifewatch_by_group_kpi_2023-11-07,bm,gov,e61bd4b4-7fc9-48ec-9c78-a1777c112997,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,qmulac,4ee9d27e-2fd8-43b5-8526-533c1e1c78e3,
3-users_lifewatch_by_group_kpi_2023-11-07,fr_DISABLED,aliceadsl,4e4b85cc-75c8-4cff-87e2-90c4f8a90996,
3-users_lifewatch_by_group_kpi_2023-11-07,es,usc,f3ca103a-6445-4294-b76d-579e6a8a6aab,
3-users_lifewatch_by_group_kpi_2023-11-07,fi,utu,e59b8b9f-bcb0-48d6-a64a-b74506654697,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ucsc,ec022cf2-bcc7-4966-8515-a718e135c645,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,unicaen,a02b3385-b1a1-4e6f-a3fa-0a09c3d2572b,
3-users_lifewatch_by_group_kpi_2023-11-07,org,recoscix,e4d0cb44-f469-4616-af1c-9533f8b5232d,
3-users_lifewatch_by_group_kpi_2023-11-07,ke,africaonlineco,ffa527a0-2cb7-42cc-88cd-174d70a5eb4b,
3-users_lifewatch_by_group_kpi_2023-11-07,ke,kmfrico,6ec529e8-0f0a-41e1-9ded-949a64114e32,
3-users_lifewatch_by_group_kpi_2023-11-07,com,recoscix,7c5e21cb-8069-41fd-94bf-1e90bb156011,
3-users_lifewatch_by_group_kpi_2023-11-07,ke,kmfrico,0203fc9d-d6cb-421a-bc14-a43c4d346bcc,
3-users_lifewatch_by_group_kpi_2023-11-07,es,uv,7e2f7c4d-4178-49d7-bc11-1dde2b748751,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,nocsotonac,2fca234a-3081-42ef-a5ac-642aa36ff5e0,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,eoasubc,2bb77f12-fa6b-4862-b315-5255496d7d45,
3-users_lifewatch_by_group_kpi_2023-11-07,es,us,1f606c10-015b-4820-8c09-82c640432347,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,hawaii,056bbbee-5195-4042-ba12-b40475da2e39,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,nova,a9141d5c-bd2c-4013-b894-515ab75567b3,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,cscardiffac,b8b953d5-b388-4a20-9384-536d1d7bf211,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,edenrutgers,40aaa97d-2a7f-4c69-bd80-aea5a8bbcecf,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ohio,5e2ec763-cdd3-4dc5-ba79-80dc97d7c99e,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,maine,1406c474-fbde-4413-8094-9e85bbe3f726,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ucla,02083652-b25b-4faf-a933-6ca44cf8f018,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,uchicago,794fff27-e337-4e2e-a553-d3b6fc099a5a,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,libertysurf,f90f0cc1-f135-43e9-a3f8-df163de655d7,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,marinerutgers,bbc55dd0-35eb-42f9-ba39-021027b27b64,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ku,67a635e5-53bc-43b6-b7b4-6bdbb5eca375,
3-users_lifewatch_by_group_kpi_2023-11-07,pl,pocztaonet,cc16388d-7a11-426d-a3d2-6bbf57683069,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,whoi,1e8e5542-21f4-419e-ab1e-d28385214567,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,evergreen,dd4cd918-aef2-4c2f-b790-fec46778e187,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,gwu,c36c30d2-00d8-4265-81c6-9605966217b9,
3-users_lifewatch_by_group_kpi_2023-11-07,ua,dvsnet,83f1d413-b40a-471e-b598-e95d6e7df2c8,
3-users_lifewatch_by_group_kpi_2023-11-07,es,ceabcsic,27f0806c-54da-4dd3-97b0-036201ff74fd,
3-users_lifewatch_by_group_kpi_2023-11-07,es,ceabcsic,f1b11a20-18a4-4028-9bc8-6157acf1b6e8,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,comuniv-mrs,59b1de63-7f9a-4af5-81db-1a8065c18ffe,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,bizonlineco,db3a7ff4-c157-4824-b0c5-47a6226af6cc,
3-users_lifewatch_by_group_kpi_2023-11-07,se,tmblgu,ee4b1a3b-a1c0-475a-b4b7-cb7bfc50a24e,
3-users_lifewatch_by_group_kpi_2023-11-07,ru,palomaspbu,ca8eb287-fab7-480b-8984-64000509fbcb,
3-users_lifewatch_by_group_kpi_2023-11-07,nl,planet,4996a5c3-fbe6-42b2-a201-ad070edd7408,
3-users_lifewatch_by_group_kpi_2023-11-07,com,btinternet,0af6014d-e358-4d4c-a7e7-d1d6c942b297,
3-users_lifewatch_by_group_kpi_2023-11-07,es,eduxunta,5317e52d-1f10-46e2-a984-aef96a95e8fb,
3-users_lifewatch_by_group_kpi_2023-11-07,com,tronholm,e8d404bc-d023-45ba-98c9-201431f9aba9,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,inhsuiuc,2e2f7d5c-73fc-4b95-8fb3-5011814a402d,
3-users_lifewatch_by_group_kpi_2023-11-07,de,jostimages,818c6c13-c606-4bfa-8401-3b8f9b26a2cc,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ucmerced,1805c923-ef8c-46bc-8b77-e46b8f44e67e,
3-users_lifewatch_by_group_kpi_2023-11-07,jp,lbmgo,95d64c2b-fc8a-4608-b7a6-4d3d5a97e584,
3-users_lifewatch_by_group_kpi_2023-11-07,nl,planet,7e4b876d-af9c-4a5a-80e4-ba0ca3a70ddf,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,mailsdsu,75e7c5c2-0dc6-4d39-b846-011e99998a8a,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,maine,db8c6450-8ac5-45bb-b042-edc20abc2172,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,oumoxac,dfbced7b-e018-44a0-a7d4-7c64a33aa267,
3-users_lifewatch_by_group_kpi_2023-11-07,es,ceabcsic,45a1f5e1-fc05-4b09-9fb7-375b2231a914,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,umb,b714c05e-a12f-4c42-8600-a5285a93ebb9,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,bodcac,85d8a2df-29a3-4754-a819-aa84dcbf7c13,
3-users_lifewatch_by_group_kpi_2023-11-07,es,geoluniovi,a406e563-df87-4b2b-a21f-4bf0c0fd3122,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,mardfo-mpogc,832d5417-3ede-4969-ba8e-1bfdd54b6de7,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,fsu,9c0ea4ef-b58d-409d-8469-021117bb5482,
3-users_lifewatch_by_group_kpi_2023-11-07,org,gatesscholar,c8ced0e0-6fc6-4b61-abff-b9cd0f3886c1,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,maine,51f5a39a-80c7-4722-a4fc-10636faf32e2,
3-users_lifewatch_by_group_kpi_2023-11-07,EDU,UFL,4d5ac197-ec65-43d1-bc60-953976df6bfa,
3-users_lifewatch_by_group_kpi_2023-11-07,co,udeaedu,753c7af5-1081-4602-8b26-32bd1d74ece0,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ufl,ee418730-b9f4-409c-8456-07df7b6b240e,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,nature,baeceba3-b1a9-4451-90b3-6c219e5b3bed,
3-users_lifewatch_by_group_kpi_2023-11-07,es,us,8bc860aa-0950-410d-b26f-eb9bb327a13c,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,odu,e60e15d3-c873-4feb-bf71-6a8ed814e7a8,
3-users_lifewatch_by_group_kpi_2023-11-07,fi,helsinki,1106e340-d5a0-4cfc-97bb-f39f66c44a08,
3-users_lifewatch_by_group_kpi_2023-11-07,ru,linirk,579cb947-62d4-4f1c-9929-88c0d7225d0d,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,mun,7533afda-6881-4d2c-bc6a-898915a3ac9c,
3-users_lifewatch_by_group_kpi_2023-11-07,de,netcologne,574221ee-a3ca-4f9a-8c8e-3f8766a8f2bf,
3-users_lifewatch_by_group_kpi_2023-11-07,se,emuu,42886832-4185-45a4-b9c9-6c69524de472,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,mednetucla,c2f206c6-41f9-4180-9c7f-58527fdd5f3b,
3-users_lifewatch_by_group_kpi_2023-11-07,es,mdieo,2ceca28d-561c-4132-8aaa-8f5b73ae9509,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,casporg,08759a7e-5555-42a6-8232-372bacbf9ded,
3-users_lifewatch_by_group_kpi_2023-11-07,be,milieubelgie,2edcdd40-b908-4cca-a54e-81b46cba5b29,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,leedsac,c6b61e16-821e-4827-b3fd-064878352709,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,eosubc,e48305c8-8229-480b-8cad-8f3c31c2926d,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,cogeco,df49d97e-89e0-49d9-b0f9-22b858ec089e,
3-users_lifewatch_by_group_kpi_2023-11-07,com,mac,bb5da27d-7c5a-44b0-a35e-74a79ca0a6e1,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,bgsac,5fa4da56-0ef2-42da-a54b-5f9ab61b255b,
3-users_lifewatch_by_group_kpi_2023-11-07,com,qq,8e3185ce-dfc5-49dd-b288-78196d042d64,
3-users_lifewatch_by_group_kpi_2023-11-07,com,126,065978ed-13f9-425a-a27a-c849a6fcb5c0,
3-users_lifewatch_by_group_kpi_2023-11-07,com,126,ad25a039-041a-4a62-aa98-101bc4d08cc0,
3-users_lifewatch_by_group_kpi_2023-11-07,com,126,c66ddc99-64ff-4c46-a42c-f4794e8bbb5d,
3-users_lifewatch_by_group_kpi_2023-11-07,com,163,c17803eb-853c-4b01-a8a6-ccc0df3ec02e,
3-users_lifewatch_by_group_kpi_2023-11-07,com,163,5157791e-89ce-46cc-a8f0-cde54f1b4353,
3-users_lifewatch_by_group_kpi_2023-11-07,cn,ecsfac,b0ef9f8f-b23b-4d32-b5e1-1bb9858b2054,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ldeocolumbia,c0d97afe-97be-44b8-bb15-5a2ea610e540,
3-users_lifewatch_by_group_kpi_2023-11-07,com,ecadi,ccf96584-a18a-41ca-aa96-793e4c23ba2d,
3-users_lifewatch_by_group_kpi_2023-11-07,cn,psychac,3ca329a7-29b7-4fe9-a55b-0047eb467bfa,
3-users_lifewatch_by_group_kpi_2023-11-07,com,163,cd38c1aa-cfd7-45ef-b5d5-6000a5a7f29f,
3-users_lifewatch_by_group_kpi_2023-11-07,com,126,a5f38806-e620-47db-b262-a8311b5ac666,
3-users_lifewatch_by_group_kpi_2023-11-07,pl,ibwpangda,258c9763-53e5-4d41-a294-b360eddf8aff,
3-users_lifewatch_by_group_kpi_2023-11-07,de,init,cacf8ff2-7128-4113-8ca4-3f093f8dad82,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,lancasterac,cb2ac6f8-989a-480c-8663-4ead330479f3,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,eckerd,d0a79af4-1d92-40cb-b716-46683e76d4db,
3-users_lifewatch_by_group_kpi_2023-11-07,jp,geccu-tokyoac,6eae04a5-5db9-4052-a185-61bffa49d8ac,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,nocsotonac,9853c7a0-10fa-4042-8926-c21145970410,
3-users_lifewatch_by_group_kpi_2023-11-07,es,icmancsic,cd87430a-36c8-4cd2-aa70-201eff934459,
3-users_lifewatch_by_group_kpi_2023-11-07,cz,butbncas,89ac7fd9-d9c3-412a-82f7-a60d261190ee,
3-users_lifewatch_by_group_kpi_2023-11-07,es,viieo,93fb64d4-3889-44f3-ada7-2c3a273caefc,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,bluelobsterco,de4bd728-5e9c-44f3-9099-b2d56d70f1f9,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,etuuniv-poitiers,57b526fc-b48b-428d-bddf-888efacae26f,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,emailulsterac,a25dd547-3001-4b6b-8b06-a06d8376ae95,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,scienceoregonstate,4ff847c4-c687-4639-a04d-de6b5a224946,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,esf,bce24788-9146-4b48-b656-c6efde8d5e1f,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,osu,556873c4-4b23-4804-ad9a-ffc367293b14,
3-users_lifewatch_by_group_kpi_2023-11-07,com,163,ac9962b4-7373-48d5-bb30-16bca53659fc,
3-users_lifewatch_by_group_kpi_2023-11-07,com,163,b3f9b0db-82fd-42fb-a5c1-b52d7faaef98,
3-users_lifewatch_by_group_kpi_2023-11-07,com,126,22e19a79-3f2e-4ae9-aa9b-40c6009b5acf,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,cerege,d58bc7d0-189f-4cd6-b803-b22830f06d4e,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,etuupmc,36e0a19c-76d9-44a0-85bb-6c34b516f2d2,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,shaw,335fd407-59c0-4bbf-88d8-5ca8fdc9c273,
3-users_lifewatch_by_group_kpi_2023-11-07,eu,vik-ing,2d3e2810-772c-4999-80e3-e08f49c38d06,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,uclac,826cd087-2a10-40c8-b16a-d0fa2dafe69c,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,leicesterac,d9a442f9-958b-4bc4-82a4-e58daacada9f,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,hullac,ada4f1ac-17a3-4f6c-9c1a-489195fe7195,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,studentsplymouthac,146fe019-bdbf-4c5b-b210-3e7ccecbc640,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,nocsotonac,2791ec24-539f-4f77-9a30-f67dd109299b,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,studentsplymouthac,562b9a23-a20c-4e09-8002-11a032241c70,
3-users_lifewatch_by_group_kpi_2023-11-07,ec,fcdarwinorg,e8a5fd36-52f8-4c9c-bd01-2ca8ffe3ac89,
3-users_lifewatch_by_group_kpi_2023-11-07,com,meiobenthos,0a59d93f-4a3a-49a1-8fea-d2ffca4c4c3d,
3-users_lifewatch_by_group_kpi_2023-11-07,com,qq,1e8e7a49-85a1-4652-8960-57bc1104c0c9,
3-users_lifewatch_by_group_kpi_2023-11-07,com,dnvgl,4f757fca-c238-4d4e-aaa6-a5984878c309,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,mta,e8634f2b-a236-48be-9fe3-e9cf410864c3,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,Howard,c72e87e5-2ec6-4f79-840f-e6dc914dc8ac,
3-users_lifewatch_by_group_kpi_2023-11-07,de,myriapoden-info,52dfe4b4-33f8-4aaf-951b-31b56709f3f9,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,vt,ca4b57ea-b399-4d44-9413-6ccd6643d6e2,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,ueaac,8f07d745-31a6-46d8-a680-376ee4a2644d,
3-users_lifewatch_by_group_kpi_2023-11-07,de,myriapoden-info,214a8f02-c0f7-41cd-84ce-d99d808eb791,
3-users_lifewatch_by_group_kpi_2023-11-07,de,myriapoden-info,91111ff3-8487-4e6d-a1dc-978fb0959802,
3-users_lifewatch_by_group_kpi_2023-11-07,com,163,657d070f-0ea7-45e5-b4d6-bf0961596a4d,
3-users_lifewatch_by_group_kpi_2023-11-07,com,bluewatermetrics,75488c53-1330-4790-a9c7-2cd1a9cf7503,
3-users_lifewatch_by_group_kpi_2023-11-07,fm,poczta,f7ff13a4-cd8b-4eb1-809a-b98b89793da2,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,temple,9b527562-f49a-4d8c-a362-30baa92e199c,
3-users_lifewatch_by_group_kpi_2023-11-07,hr,dzzp,f8ae3c36-9003-4d16-8214-7b8f6df27234,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,maine,51564f98-096b-4524-86a9-56f6ea4ad7c0,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,uconn,12fcbf6c-bb15-44e8-a9d6-04274b741173,
3-users_lifewatch_by_group_kpi_2023-11-07,com,etbnleurofins,7dce5676-f97a-455c-b03d-18ba08ee79ee,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,hsc,14ba331f-2c53-4f82-869f-071e8062a9ee,
3-users_lifewatch_by_group_kpi_2023-11-07,com,126,fe5c5a81-7c32-45c3-b9de-a962a7864f7a,
3-users_lifewatch_by_group_kpi_2023-11-07,cz_DISABLED,hbucas,cc300fb8-ed14-4581-8c25-188d4351f24f,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,estudiantupc,6bf03cef-75cb-43d0-abfe-7099952245f1,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,utrgv,1aa5ead5-49a8-4f27-b035-27f307092b8e,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,bioulaval,3d47571f-a9dd-4f2a-bf20-f1e570be720c,
