source,raw_institute,user_identifier,stand_institute,Unnamed: 0.1,Unnamed: 0,country_alpha2,country_alpha3,country_official_name,country_url,flemish,group,qh,MarineInfo_ID,ROR_ID,local_ID
4-datarequest_users_2023_11_07,vlaamse milieu maatschappij,4-datarequest_users_2023_11_07_0c158f16-1d85-4c5a-a0b0-4c197d047c57,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,ilvo,4-datarequest_users_2023_11_07_a0fed5bd-4cf7-41b6-8059-c8864ca83faf,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",213.0,213.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/5442,https://ror.org/05cjt1n05,3e28e922-018d-448f-8740-d242c100d81e
4-datarequest_users_2023_11_07,"ilvo, ugent (marbiol)",4-datarequest_users_2023_11_07_dc00d0de-951f-483f-ac1e-fdd499c1d44f,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,ulb,4-datarequest_users_2023_11_07_119a5150-220e-4475-aa1b-ca0e761f075c,Free University of Brussels (VUB),175.0,175.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,o,University,Science,https://marineinfo.org/id/institute/2956,https://ror.org/006e5kg04,02e24a2d-18fc-47ac-8489-e9cfbbb7f666
4-datarequest_users_2023_11_07,uantwerpen,4-datarequest_users_2023_11_07_b83b61d5-eecf-4fdb-b2f4-6ec89b61f7f4,University of Antwerp,256.0,256.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/4538,https://ror.org/008x57b05,4ccd6431-49b9-4f39-9e03-eb27c0a16da9
4-datarequest_users_2023_11_07,Natural History Museum Rijeka,4-datarequest_users_2023_11_07_cf9a62de-88e5-419f-a7ce-8d33f09412ae,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,ugent (marbiol),4-datarequest_users_2023_11_07_7334cbe6-e085-4c5d-9cc8-f440012a6664,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Royal Belgian institute of natural sciences,4-datarequest_users_2023_11_07_4f0b3c78-45ea-466d-b4e2-3356c27f01da,RBINS Royal Belgian Institute of Natural Sciences (RBINS),,,,,,,,,,,,
4-datarequest_users_2023_11_07,vliz,4-datarequest_users_2023_11_07_b818bba6-8465-4a4e-a7c1-1bdcef2bf7a6,VLIZ Flanders Marine Institute,273.0,273.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/36,https://ror.org/0496vr396,29b5daf6-c18b-4149-8570-1577dba33ecc
4-datarequest_users_2023_11_07,"ugent, De WaterGroep, Pollet Water Group, VITO",4-datarequest_users_2023_11_07_c54ac8ac-70c6-4894-a523-ce8723b821d8,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,VITO,4-datarequest_users_2023_11_07_9e727392-2650-4b8a-bccc-facdc8c08b7f,VITO Vlaamse Instelling voor Technologisch Onderzoek,269.0,269.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/138,https://ror.org/04gq0w522,ea3b3044-958c-48c0-be33-481e7245963c
4-datarequest_users_2023_11_07,De WaterGroep,4-datarequest_users_2023_11_07_d5a91c8a-fe9f-4466-b97b-667cb58af9ec,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Pollet Water Group,4-datarequest_users_2023_11_07_618839d5-e6ce-487b-974f-d1a5e6eb020a,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Energyville,4-datarequest_users_2023_11_07_1b7a23b2-81ba-4790-8839-87e29ff17c7c,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,XANT,4-datarequest_users_2023_11_07_8d2e47cd-6f67-4dca-a8ea-051684beadd6,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Ifremer,4-datarequest_users_2023_11_07_7d3c80ba-0087-48fb-85be-4522a36a3779,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers),,,,,,,,,,,,
4-datarequest_users_2023_11_07,Royal Belgian Institute of Natural Sciences (REMSEM team),4-datarequest_users_2023_11_07_bbb644e0-e5db-4c21-b8ef-e48b5fe8799d,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,ilvo (Aquaculture),4-datarequest_users_2023_11_07_21f66440-055b-46eb-8303-8e68066ca560,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Instituto español de oceanografía (IEO) CC Gijón,4-datarequest_users_2023_11_07_84530da5-a9f9-4cd0-b0d6-fa643ae6f538,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,ulb (Laboratoire d'Ecologie des systèmes aquatiques),4-datarequest_users_2023_11_07_3d1f6d3d-1eb2-461c-bd2b-107fe809b95e,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,University of Cape Town,4-datarequest_users_2023_11_07_cb18f7cf-afa7-4f72-bf83-8f9c2b71c020,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,"embl, embrc",4-datarequest_users_2023_11_07_91618b7f-4f97-434c-89c7-496e89367aee,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,student mbo,4-datarequest_users_2023_11_07_7ec0657c-268a-4bb7-8741-5fabd934006a,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Møreforsking AS,4-datarequest_users_2023_11_07_2e826edd-5852-4cc9-93e8-e5b44556478b,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,vito,4-datarequest_users_2023_11_07_005a4deb-a339-49cc-a280-daf49a004a8d,VITO Vlaamse Instelling voor Technologisch Onderzoek,269.0,269.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/138,https://ror.org/04gq0w522,ea3b3044-958c-48c0-be33-481e7245963c
4-datarequest_users_2023_11_07,vliz,4-datarequest_users_2023_11_07_d9814ad6-ebf0-49d3-9a65-902a7422f134,VLIZ Flanders Marine Institute,273.0,273.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/36,https://ror.org/0496vr396,29b5daf6-c18b-4149-8570-1577dba33ecc
4-datarequest_users_2023_11_07,uantwerpen,4-datarequest_users_2023_11_07_87cbca2e-ceb5-4089-9d1b-5897ec5e194b,University of Antwerp,256.0,256.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/4538,https://ror.org/008x57b05,4ccd6431-49b9-4f39-9e03-eb27c0a16da9
