,"country_alpha2","country_alpha3","country_official_name","country_url","flemish","stand_institute","group","qh","MarineInfo_ID","ROR_ID","local_ID"
0,"AL","ALB","Republic of Albania","https://www.iso.org/obp/ui/#iso:code:3166:AL",,"Agricultural University of Tirana","University","Science","-","https://ror.org/03k793y62","d76da832-9492-4061-881c-bcb2c1c2b397"
1,"DZ","DZA","People's Democratic Republic of Algeria","https://www.iso.org/obp/ui/#iso:code:3166:DZ",,"University of Mostaghanem Central","University","Science","-","-","a44c1df2-43c6-4dad-bea3-00a35b1650b6"
2,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"Bernardino Rivadavia Museum of Natural Science","Museum","Science","https://marineinfo.org/imis?module=institute&insid=14482","https://ror.org/001ecav82","0b9a4805-6ee8-419a-94c9-d663eec923de"
3,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas)","Governmental body","Policy","https://marineinfo.org/imis?module=institute&insid=14306","https://ror.org/03cqe8w59","de9aaaf7-f1da-4711-a99d-dd68d1321437"
4,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas) -  IDEAUS (Instituto de Diversidad y Evoluci�n Austral)","Research Institute","Science","-","-","10e8ac2e-cad1-43b1-8b2c-0e4d4755347b"
5,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas) -  Museo Argentino de Ciencias Naturales Bernardino Rivadavia (MACN)","Museum","Science","https://marineinfo.org/imis?module=institute&insid=9277","https://ror.org/001ecav82","6cb168e2-81cd-471b-ac48-4aa3635950ed"
6,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas) - Centro Cient�fico Tecnol�gico La Plata (CCT La Plata)","Research Institute","Science","-","https://ror.org/03qan4b12","4f52fdc0-f464-4fe8-94e9-85794d909df2"
7,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas) - Centro Cient�fico Tecnol�gico La Plata (CCT La Plata) - Research Centre of Parasitology & Vectors","Research Institute","Science","-","-","f09ff336-f575-4121-9c5c-a6143bb74c26"
8,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas) - Centro Nacional Patag�nico, Centro Cient�fico Tecnol�gico (CCT CENPAT)","Research Institute","Science","-","https://ror.org/049xnr573","f0a173e7-58fd-4da4-a52c-416b91fd30f3"
9,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas) - Instituto Argentino de Oceanograf�a (IADO)","Research Institute","Science","https://marineinfo.org/imis?module=institute&insid=9134","-","b76edd47-8fb4-4953-9bcc-1b553a75b2e5"
10,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"Instituto Argentino de Investigaci�n en Zonas �ridas (IADIZA)","Research institute","Science","-","https://ror.org/036rry744","811f61a8-9e0c-41c5-a5d5-6841ad65d5ed"
11,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"Instituto Nacional de Investigaci�n y Desarrollo Pesquero (INIDEP)","Research Institute","Science","https://marineinfo.org/imis?module=institute&insid=6609","https://ror.org/049b2cm85","e9fd8011-f5d5-42ec-a043-0137407d4cbc"
12,"AR","ARG","Argentine Republic","https://www.iso.org/obp/ui/#iso:code:3166:AR",,"Maimonides University","University","Science","-","https://ror.org/01tkmq646","842b04d9-306e-40fe-899a-31fb1669fe40"
