"Institute","Institute_standardized"
"CNR, Ist Sci & Tecnol Informaz A Faedo, I-56100 Pisa, Italy.","""Alessandro Faedo"" Institute of Information Science and Technologies (CNR-ISTI)"
"Alien Species Consortium","‘VLIZ Alien Species Consortium’ Expert Group"
"3T Software Labs GmbH","3T Software Labs GmbH"
"4C Offshore Ltd.","4C Offshore Ltd."
"Aarhus Univ","Aarhus University"
"Aarhus Univ, Dept Biosci, Marine Mammal Res, Aarhus, Denmark.","Aarhus University"
"Aarhus Univ, Dept Biosci, Sect Aquat Biol, Ole Worms Alle 1, DK-8000 Aarhus C, Denmark.","Aarhus University"
"Aarhus University","Aarhus University"
"Aarhus Univ, Dept Biosci, DK-4000 Roskilde, Denmark;","Aarhus University - Department of Biology"
"Aarhus University - Department of Biology","Aarhus University - Department of Biology"
"Department of Marine Ecology, National Environmental Institute, University of Aarhus","Aarhus University - Department of Marine Ecology - National Environmental Research Institute"
"National Environmental Research Institute","Aarhus University - Department of Marine Ecology - National Environmental Research Institute"
"National Environmental Research Institute, Aarhus University, Dept. of Marine Ecology","Aarhus University - Department of Marine Ecology - National Environmental Research Institute"
"Aarhus University - Department of Ecoscience","Aarhus University - Department of Ecoscience"
"Aarhus University - Institut for Bioscience","Aarhus University - Institut for Bioscience"
"Aberystwyth University","Aberystwyth University"
"Abo Akad Univ","Åbo Akademi University"
"Abo Akad Univ, Dept Biosci Environm & Marine Biol, FIN-20520 Turku, Finland","Åbo Akademi University - Department of Bioscience Environment and Marine Biology"
"Australian Biological Study Resources","ABRS (Australian Biological Resources Study)"
"Academia Sinica","Academia Sinica"
"Acad Sinica, Biodivers Res Ctr, Taipei 115, Taiwan.","Academia Sinica - Biodiversity Research Centre"
"Academia Sinica, Biodiversity Research Center","Academia Sinica - Biodiversity Research Centre"
"Biodiversity Research Center, Academia Sinica","Academia Sinica - Biodiversity Research Centre"
"Taiwan Biodiversity Information Facility (TaiBIF), Biodiversity Research Centre, Academia Sinica","Academia Sinica - Biodiversity Research Centre - Taiwan Biodiversity Information Facility (TaiBIF)"
"Acad Sci & Innovat Res AcSIR, Ghaziabad 201002, India.","Academy of Scientific & Innovative Research (AcSIR)"
"ASEAN Centre for Biodiversity ","ASEAN Centre for Biodiversity (ACB)"
"Acharya Nagarjuna Univ","Acharya Nagarjuna University"
"Acharya Nagarjuna Univ, Dept Zool, Nagarjunanagar 522510, India.","Acharya Nagarjuna University"
"Adam Mickiewicz Univ, Dept Anim Taxon & Ecol, Inst Environm Biol, Umultowska 89, PL-61614 Poznan, Poland.","Adam Mickiewicz University"
"Adam Mickiewicz Univ, Inst Environm Biol, Dept Anim Taxon & Ecol, Umultowska 89, PL-61614 Poznan, Poland.","Adam Mickiewicz University - Institute of Environmental Biology"
"Adnan Menderes Univ","Adnan Menderes University"
"Adnan Menderes Univ, Fac Arts & Sci, Dept Biol, TR-09010 Aydin, Turkey;","Adnan Menderes University - Faculty of Arts & Science - Department of Biology"
"Aereon Marine","Aereon Marine Inc."
"Agnes Scott College","Agnes Scott College"
"ANB","Agentschap voor Natuur en Bos"
"Natuur en bos","Agentschap voor Natuur en Bos"
"Agharkar Res Inst","Agharkar Research Institute"
"Agharkar Research Institute","Agharkar Research Institute"
"*Balasubramanian, K.: Biodiversity and Paleobiology Group, Agharkar Research Institute, Pune 411004, India","Agharkar Research Institute - Biodiversity & Paleobiology Group"
"Agharkar Res Inst, Biodivers & Paleobiol Grp, Pune 411004, Maharashtra, India;","Agharkar Research Institute - Biodiversity & Paleobiology Group"
"Agnes Scott College","Agnes Scott College"
"Ctr Agr Res, Plant Protect Inst, Herman Otto St 15, H-1022 Budapest, Hungary.","Agricultural Research Center (ARC) - Plant Protection Research Institute (PPRI)"
"Ctr Agr Res, Plant Protect Inst, Herman Otto Ut 15, H-1022 Budapest, Hungary.","Agricultural Research Center (ARC) - Plant Protection Research Institute (PPRI)"
"Agr Univ Tirana","Agricultural University of Tirana"
"Agr Univ Tirana, Tirana, Albania.","Agricultural University of Tirana"
"Agrifood & Biosci Inst","Agri-Food and Biosciences Institute"
"Agri-Food and Biosciences Institute","Agri-Food and Biosciences Institute"
"Agrifood & Biosci Inst, Fisheries & Aquat Ecosyst Branch, SAFSD, Belfast BT9 5PX, Antrim, North Ireland;","Agri-Food and Biosciences Institute - Fisheries & Aquatic Ecosystems Branch"
"AIMS","AIMS (Australian Institute of Marine Science)"
"Australian Inst Marine Sci","AIMS (Australian Institute of Marine Science)"
"Australian Inst Marine Sci, TMC, Townsville, Qld 4810, Australia;","AIMS (Australian Institute of Marine Science)"
