res_status_code,affil_OG,substring,score,chosen,organization_id,organization_name
200,Agricultural University of Tirana,Agricultural%20University%20of%20Tirana,0.68,False,https://ror.org/03g9v2404,University of Tirana
200,Agricultural University of Tirana,Agricultural%20University%20of%20Tirana,0.56,False,https://ror.org/03k793y62,Agricultural University of Tirana
200,Agricultural University of Tirana,Agricultural%20University%20of%20Tirana,0.51,False,https://ror.org/00rt3cy21,Visayas State University
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.63,False,https://ror.org/00kgrkn83,University of Lucerne
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.62,False,https://ror.org/019whta54,University of Lausanne
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.62,False,https://ror.org/02rc97e94,University of Calabria
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.6,False,https://ror.org/01111rn36,University of Bologna
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.6,False,https://ror.org/02k7v4d05,University of Bern
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.59,False,https://ror.org/02s6k3f65,University of Basel
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.58,False,https://ror.org/037gty358,Universidad Metropolitana
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.57,False,https://ror.org/00g30e956,Universität Hamburg
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.57,False,https://ror.org/03mmdq014,Universitas Batanghari
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.57,False,https://ror.org/0411seq30,Kocaeli Üniversitesi
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.56,False,https://ror.org/022fs9h90,University of Fribourg
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.55,False,https://ror.org/021njs178,Universidad Intercontinental
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.55,False,https://ror.org/02ahky613,Universidad del Noreste
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.53,False,https://ror.org/05gefd119,Universidade Feevale
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.52,False,https://ror.org/02d09a271,Universidade Positivo
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.52,False,https://ror.org/02jqzm779,Atlas Üniversitesi
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.51,False,https://ror.org/04sjchr03,Université Laval
200,University of Mostaghanem Central,University%20of%20Mostaghanem%20Central,0.51,False,https://ror.org/05exvy590,Universitas Dwijendra
200,Bernardino Rivadavia Museum of Natural Science,Bernardino%20Rivadavia%20Museum%20of%20Natural%20Science,0.64,False,https://ror.org/001ecav82,Bernardino Rivadavia Natural Sciences Museum
200,Bernardino Rivadavia Museum of Natural Science,Bernardino%20Rivadavia%20Museum%20of%20Natural%20Science,0.57,False,https://ror.org/02v6zg374,Museo Nacional de Ciencias Naturales
200,Bernardino Rivadavia Museum of Natural Science,Bernardino%20Rivadavia%20Museum%20of%20Natural%20Science,0.56,False,https://ror.org/0105p2j56,National Museum of Natural Science
200,Bernardino Rivadavia Museum of Natural Science,Bernardino%20Rivadavia%20Museum%20of%20Natural%20Science,0.52,False,https://ror.org/011ywze69,Società Romana di Scienze Naturali
200,CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas),CONICET%20%28Consejo%20Nacional%20de%20Investigaciones%20Cient%EF%BF%BDficas%20y%20T%EF%BF%BDcnicas%29,0.54,False,https://ror.org/03cqe8w59,Consejo Nacional de Investigaciones Científicas y Técnicas
200,CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas),CONICET%20%28Consejo%20Nacional%20de%20Investigaciones%20Cient%EF%BF%BDficas%20y%20T%EF%BF%BDcnicas%29,0.51,False,https://ror.org/003vet424,Centro Científico Tecnológico - Santa Fe
200,CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas),CONICET%20%28Consejo%20Nacional%20de%20Investigaciones%20Cient%EF%BF%BDficas%20y%20T%EF%BF%BDcnicas%29,0.51,False,https://ror.org/01ktqem13,Centro Científico Tecnológico - Nordeste
200,CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas),CONICET%20%28Consejo%20Nacional%20de%20Investigaciones%20Cient%EF%BF%BDficas%20y%20T%EF%BF%BDcnicas%29,0.51,False,https://ror.org/038n0qb29,Centro Científico Tecnológico - Patagonia Norte
200,CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas),CONICET%20%28Consejo%20Nacional%20de%20Investigaciones%20Cient%EF%BF%BDficas%20y%20T%EF%BF%BDcnicas%29,0.51,False,https://ror.org/03w8cva37,Centro Científico Tecnológico - Tucumán
200,"CONICET (Consejo Nacional de Investigaciones Cient�ficas y T�cnicas) - Centro Nacional Patag�nico, Centro Cient�fico Tecnol�gico (CCT CENPAT)",CONICET%20%28Consejo%20Nacional%20de%20Investigaciones%20Cient%EF%BF%BDficas%20y%20T%EF%BF%BDcnicas%29%20 %20Centro%20Nacional%20Patag%EF%BF%BDnico%2C%20Centro%20Cient%EF%BF%BDfico%20Tecnol%EF%BF%BDgico%20%28CCT%20CENPAT%29,0.51,False,https://ror.org/049xnr573,Centro Científico Tecnológico Patagónico
200,Instituto Nacional de Investigaci�n y Desarrollo Pesquero (INIDEP),Instituto%20Nacional%20de%20Investigaci%EF%BF%BDn%20y%20Desarrollo%20Pesquero%20%28INIDEP%29,0.6,False,https://ror.org/049b2cm85,Instituto Nacional de Investigacion y Desarrollo Pesquero
200,Maimonides University,Maimonides%20University,0.64,False,https://ror.org/02fn69884,Universidad Villanueva
200,Maimonides University,Maimonides%20University,0.58,False,https://ror.org/00g651r29,Maimonides Medical Center
200,Maimonides University,Maimonides%20University,0.54,False,https://ror.org/013pajk64,Universidade Fundação Mineira de Educação e Cultura
200,Maimonides University,Maimonides%20University,0.54,False,https://ror.org/02jqzm779,Atlas Üniversitesi
200,Maimonides University,Maimonides%20University,0.54,False,https://ror.org/04qvdf239,Bozok Universitesi
200,Maimonides University,Maimonides%20University,0.51,False,https://ror.org/005zfy155,Kayseri Üniversitesi
200,Maimonides University,Maimonides%20University,0.51,False,https://ror.org/05khk0h97,Mudanya Üniversitesi
